Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,1:39:40 PM,GLD," 243,745 ", $138.31 ,3%,DARK AVGPRC,$33.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,1:03:23 PM,GLD," 159,222 ", $138.26 ,2%,DARK BLOCK,$22.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,4:26:59 PM,GLD," 150,000 ", $138.21 ,2%,DARK BLOCK,$20.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,1:23:14 PM,GLD," 132,685 ", $138.26 ,2%,DARK BLOCK,$18.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,1:47:41 PM,GLD," 106,149 ", $137.97 ,1%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,1:16:06 PM,GLD," 106,148 ", $137.97 ,1%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,2:08:56 PM,GOVT," 2,933,508 ", $26.03 ,75%,DARK BLOCK,$76.0M,ETF/Fund,ETFs,Miscellaneous," 3,922,731 ",572,N/A
11/15/2019,5:40:33 PM,HYG," 1,132,004 ", $86.94 ,7%,DARK BLOCK,$98.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,4:00:07 PM,HYG," 1,000,000 ", $86.94 ,7%,DARK BLOCK,$86.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,4:00:07 PM,HYG," 505,273 ", $86.94 ,3%,DARK BLOCK,$43.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,1:38:56 PM,HYG," 390,000 ", $86.92 ,3%,DARK BLOCK,$33.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,10:35:19 AM,HYG," 372,700 ", $86.90 ,2%,DARK ISOBB,$32.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,4:01:30 PM,HYG," 288,000 ", $86.93 ,2%,DARK BLOCK,$25.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,11:38:03 AM,HYG," 219,000 ", $86.95 ,1%,DARK BLOCK,$19.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,5:25:18 PM,HYG," 150,600 ", $86.94 ,1%,DARK BLOCK,$13.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,11:47:26 AM,HYG," 138,000 ", $86.94 ,1%,DARK BLOCK,$11.0M,ETF/Fund,ETFs,Miscellaneous," 15,366,729 ",220,N/A
11/15/2019,4:09:41 PM,HYMB," 100,000 ", $58.82 ,62%,DARK BLOCK,$5.8M,ETF/Fund,ETFs,Miscellaneous," 161,640 ",16,N/A
11/15/2019,3:30:18 PM,IAU," 604,935 ", $14.03 ,4%,DARK BLOCK,$8.4M,ETF/Fund,,," 16,860,455 ",1202,N/A
11/15/2019,11:07:22 AM,IBB," 200,000 ", $111.08 ,10%,DARK ISOAA,$22.0M,ETF/Fund,ETFs,Miscellaneous," 2,101,476 ",64,N/A
11/15/2019,1:33:04 PM,IBND," 373,194 ", $33.48 ,769%,DARK ISOBBDay,$12.0M,ETF/Fund,ETFs,Miscellaneous," 48,537 ",5,N/A
11/15/2019,12:29:15 PM,IEFA," 399,972 ", $64.09 ,5%,DARK ISO,$25.0M,ETF/Fund,ETFs,Miscellaneous," 7,770,350 ",1074,N/A
11/15/2019,9:37:29 AM,IEFA," 100,000 ", $63.92 ,1%,DARK BLOCK,$6.3M,ETF/Fund,ETFs,Miscellaneous," 7,770,350 ",1074,N/A
11/15/2019,12:23:55 PM,IEMG," 2,734,461 ", $51.93 ,21%,DARK ISO,$142.0M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,4:26:59 PM,IEMG," 1,000,000 ", $51.82 ,8%,DARK BLOCK,$51.0M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,12:06:24 PM,IEMG," 898,215 ", $51.91 ,7%,DARK ISOAA,$46.0M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,9:44:44 AM,IEMG," 780,000 ", $51.84 ,6%,DARK BLOCK,$40.0M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,3:47:26 PM,IEMG," 689,775 ", $51.81 ,5%,DARK BLOCK,$35.0M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,10:34:55 AM,IEMG," 177,598 ", $51.85 ,1%,DARK BLOCK,$9.2M,ETF/Fund,,," 12,864,261 ",1098,N/A
11/15/2019,4:10:32 PM,IGHG," 184,412 ", $75.60 ,859%,DARK BLOCK,$13.0M,ETF/Fund,,," 21,474 ",3,N/A
